STUDENT_ID	LAST_NAME	FIRST_NAME	GPA	ACT	GENDER	LEGACY	RESIDENCY	COLLEGE	ETHNICITY	MAJOR	COUNTY_NAME	STATE_ORIGIN	FI_1	FI_2	FI_3	FI_4	FG	HOUSING	FA
902439725	XXXXXXX	XXXXXXX	4	21	F	NULL	R	EN	W	PN	"Cleburne,AL"	AL	N	N	N	Y	Y	Y	Y
902439642	XXXXXXX	XXXXXXX	3.57	20	F	NULL	N	AR	W	PARC	"Coweta,GA"	GA	N	Y	N	N	N	Y	N
902439636	XXXXXXX	XXXXXXX	3.5	20	F	NULL	N	LA	W	PUBR	"Leon,FL"	FL	Y	N	N	N	N	Y	N
902439594	XXXXXXX	XXXXXXX	3.67	21	F	NULL	N	BU	W	PREB	"Forsyth,GA"	GA	N	N	Y	N	Y	Y	Y
902439536	XXXXXXX	XXXXXXX	3.69	22	F	NULL	N	BU	W	PREB	"Gordon,GA"	GA	N	Y	N	N	Y	Y	Y
902439448	XXXXXXX	XXXXXXX	3.78	22	F	NULL	N	NU	W	PNUR	"Ada,AQUID"	AQUID	Y	N	N	N	N	Y	Y
902439442	XXXXXXX	XXXXXXX	3.78	22	M	NULL	N	AG	W	ANPV	"TwinFalls,AQUID"	AQUID	N	N	N	Y	N	Y	Y
902439294	XXXXXXX	XXXXXXX	4.07	20	M	P	N	LA	W	UNLA	"Tarrant,TX"	TX	Y	N	N	N	N	Y	N
902439236	XXXXXXX	XXXXXXX	3.54	24	M	O	R	LA	W	COMM	"Chilton,AL"	AL	N	Y	N	N	N	Y	N
902439078	XXXXXXX	XXXXXXX	3.69	21	F	NULL	N	LA	W	COMM	"Pinellas,FL"	FL	N	Y	N	N	N	Y	N
902439024	XXXXXXX	XXXXXXX	3.56	19	F	NULL	N	BU	W	PREB		MI	N	N	N	Y	N	Y	Y
902439015	XXXXXXX	XXXXXXX	3.6	24	M	NULL	N	BU	W	PREB	"Fulton,GA"	GA	N	Y	N	N	N	Y	Y
902438795	XXXXXXX	XXXXXXX	3.77	21	M	NULL	N	BU	W	PREB	"Mecklenburg,NC"	NC	N	N	N	N	N	Y	N
902438787	XXXXXXX	XXXXXXX	3.61	23	M	NULL	N	BU	W	PREB	"Stafford,VA"	VA	N	N	N	N	N	Y	Y
902438773	XXXXXXX	XXXXXXX	3.95	22	F	NULL	N	EN	W	PCHE	"Spalding,GA"	GA	N	Y	N	N	Y	N	Y
902438675	XXXXXXX	XXXXXXX	3.53	24	M	NULL	N	EN	W	PCHE	"Pierce,WA"	WA	Y	N	N	N	N	Y	Y
902438662	XXXXXXX	XXXXXXX	3.71	21	F	NULL	N	EN	X	PME	"Tarrant,TX"	TX	N	N	Y	N	Y	Y	Y
902438638	XXXXXXX	XXXXXXX	3.68	22	M	NULL	N	LA	W	FLSP	"NewHanover,NC"	NC	Y	N	N	N	N	Y	N
902438637	XXXXXXX	XXXXXXX	3.53	17	F	NULL	N	NU	W	PNUR	"Orange,FL"	FL	N	Y	N	N	N	Y	N
